,FL_NUM,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN,DEST,CRS_ARR_TIME,DEP_DEL15,ARR_DEL15,DEP_DELAY
203,1707,1,11,1,DTW,MSP,945,0.0,0.0,-2.0
204,1770,1,11,1,SEA,MSP,2048,0.0,0.0,0.0
205,1840,1,11,1,MSP,DTW,2044,0.0,1.0,1.0
206,822,1,10,7,SEA,DTW,1415,0.0,0.0,7.0
207,875,1,10,7,ATL,JFK,1749,1.0,1.0,166.0
208,945,1,10,7,DTW,ATL,1558,1.0,1.0,242.0
209,987,1,10,7,SEA,DTW,615,0.0,0.0,-2.0
210,1096,1,10,7,DTW,MSP,1303,0.0,0.0,-1.0
211,1107,1,10,7,ATL,SEA,2205,0.0,0.0,9.0
212,780,1,11,1,MSP,DTW,1304,0.0,0.0,8.0
213,822,1,11,1,SEA,DTW,1415,0.0,0.0,-5.0
214,866,1,11,1,ATL,MSP,1540,0.0,0.0,-2.0
215,929,1,11,1,DTW,ATL,1840,0.0,0.0,0.0
216,984,1,11,1,ATL,JFK,2315,0.0,0.0,-1.0
217,1094,1,11,1,ATL,MSP,1645,0.0,0.0,-4.0
218,1121,1,11,1,DTW,ATL,2219,0.0,0.0,-7.0
219,1187,1,11,1,MSP,SEA,1928,1.0,1.0,33.0
220,1290,1,11,1,ATL,DTW,5,0.0,0.0,3.0
221,1419,1,11,1,SEA,MSP,1204,0.0,0.0,-4.0
222,1542,1,11,1,SEA,JFK,723,0.0,0.0,-1.0
223,1651,1,11,1,DTW,SEA,2221,0.0,1.0,-4.0
224,2794,1,11,1,DTW,ATL,945,0.0,0.0,-2.0
225,7,1,12,2,ATL,MSP,1230,0.0,0.0,-3.0
226,86,1,12,2,MSP,DTW,1637,0.0,0.0,13.0
227,420,1,12,2,JFK,SEA,1020,0.0,0.0,-3.0
228,426,1,12,2,JFK,ATL,1055,0.0,0.0,-1.0
229,478,1,12,2,ATL,JFK,1424,0.0,0.0,-4.0
230,1782,1,9,6,DTW,SEA,1709,0.0,0.0,-5.0
231,1975,1,9,6,MSP,ATL,1456,0.0,1.0,6.0
232,2039,1,10,7,ATL,SEA,1109,0.0,0.0,-1.0
233,2205,1,10,7,JFK,MSP,1836,1.0,1.0,173.0
234,2283,1,10,7,DTW,ATL,820,0.0,0.0,-6.0
235,2350,1,10,7,DTW,ATL,5,1.0,1.0,49.0
236,2424,1,10,7,SEA,DTW,2104,1.0,1.0,165.0
237,2536,1,10,7,MSP,SEA,2125,0.0,0.0,6.0
238,2817,1,10,7,JFK,DTW,1123,1.0,1.0,231.0
239,86,1,11,1,MSP,DTW,1648,0.0,0.0,-1.0
240,420,1,11,1,JFK,SEA,1020,0.0,0.0,-1.0
241,436,1,11,1,JFK,MSP,1344,1.0,1.0,90.0
242,478,1,11,1,ATL,JFK,1424,0.0,0.0,6.0
243,557,1,11,1,MSP,DTW,921,0.0,0.0,0.0
244,630,1,11,1,DTW,ATL,1954,1.0,0.0,18.0
245,1403,1,12,2,ATL,SEA,1625,0.0,0.0,-2.0
246,1476,1,12,2,DTW,MSP,1444,0.0,1.0,-5.0
247,281,1,14,4,DTW,SEA,1100,0.0,1.0,-1.0
248,425,1,14,4,JFK,ATL,1921,0.0,0.0,3.0
249,478,1,14,4,ATL,JFK,1424,0.0,0.0,2.0
250,557,1,14,4,MSP,DTW,921,0.0,0.0,-2.0
251,630,1,14,4,DTW,ATL,1954,0.0,0.0,-4.0
252,1651,1,12,2,DTW,SEA,2221,0.0,0.0,-2.0
253,1768,1,12,2,SEA,MSP,1336,0.0,0.0,-1.0
